"","","","","","","","","","","","","","","","","","",""
"山东省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-08-14~2018-08-14","","","","","","","","","","","","","打印时间：","","2018-08-15 20:37:12",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"1","0437","棒棒糖","0","17","45","179,000","0","0","0","0","0","0","36","7,200","0","17","9","171,800"
"面值合计","","","0","17","45","179,000","0","0","0","0","0","0","36","7,200","0","17","9","171,800"
"2","0112","星座奇缘","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0114","步步为赢","0","2","186","171,600","0","0","0","0","0","0","0","0","0","2","186","171,600"
"2","0234","热力50","0","1","0","30,000","0","0","0","0","0","0","0","0","0","1","0","30,000"
"2","0274","招财猫","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0280","加油","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0298","太空寻宝","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"2","0316","小蛋糕","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0346","年终奖","0","0","23","6,900","0","0","0","0","0","0","0","0","0","0","23","6,900"
"2","0350","报喜","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0356","小金猪","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0370","金豆豆","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"2","0371","我爱中国","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0396","彩蛋","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0423","太空寻宝","0","94","37","2,842,200","0","0","0","0","0","0","133","79,800","0","92","4","2,762,400"
"2","0434","八喜","0","25","71","792,600","0","0","0","0","0","0","41","24,600","0","25","30","768,000"
"2","0452","旺旺","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0461","糖葫芦","0","4","0","120,000","0","0","0","0","0","0","0","0","0","4","0","120,000"
"2","0467","加油","0","210","38","4,207,600","0","0","0","0","0","0","36","7,200","0","210","2","4,200,400"
"面值合计","","","0","336","357","8,172,100","0","0","0","0","0","0","210","111,600","0","334","247","8,060,500"
"3","0098","红樱桃","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","0219","挖地雷","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","0456","红樱桃","0","75","37","1,822,200","0","0","0","0","0","0","60","36,000","0","74","17","1,786,200"
"面值合计","","","0","75","37","1,822,200","0","0","0","0","0","0","60","36,000","0","74","17","1,786,200"
"5","0057","麻辣6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0067","精彩奇妙5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0105","NBA","0","0","11","6,600","0","0","0","0","0","0","0","0","0","0","11","6,600"
"5","0115","生日快乐","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0196","麻辣6","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"5","0233","热力100","0","25","36","771,600","0","0","0","0","0","0","0","0","0","25","36","771,600"
"5","0251","够级","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0267","甜蜜蜜","0","41","41","1,254,600","0","0","0","0","0","1","115","99,000","0","38","26","1,155,600"
"5","0285","魔钻","0","0","2","1,200","0","0","0","0","0","0","0","0","0","0","2","1,200"
"5","0286","清凉水果","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0290","九宫格","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0295","富贵金锁","0","11","95","358,500","0","0","0","0","0","0","24","7,200","0","11","71","351,300"
"5","0302","中国红","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0305","双龙戏珠","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0314","LOVE","0","106","40","3,192,000","0","0","0","0","0","0","35","10,500","0","106","5","3,181,500"
"5","0318","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0322","麻辣6","0","0","2","1,200","0","0","0","0","0","0","0","0","0","0","2","1,200"
"5","0325","KONGFU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0330","绿宝石","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0334","好开心","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0337","幸福时光","0","147","19","2,943,800","0","0","0","0","0","0","21","4,200","0","146","98","2,939,600"
"5","0344","小红包","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0349","恭喜发财","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0352","挖财宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0357","中国红","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0362","发财树","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0368","吃西瓜","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0372","我爱中国","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0378","大吉大利","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0382","小红包","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"5","0385","卧虎藏龙","0","193","11","5,796,600","0","0","0","0","0","0","18","10,800","0","192","43","5,785,800"
"5","0388","长征","0","114","77","2,295,400","0","0","0","0","0","0","9","1,800","0","114","68","2,293,600"
"5","0397","好运123","0","142","67","4,300,200","0","0","0","0","0","0","39","23,400","0","142","28","4,276,800"
"5","0398","开门大吉","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0399","中国结","0","66","35","2,001,000","0","0","0","0","0","0","31","18,600","0","66","4","1,982,400"
"5","0422","富贵金锁","0","5","83","199,800","0","0","0","0","0","0","0","0","0","5","83","199,800"
"5","0431","粉橙蓝","0","136","80","4,128,000","0","0","0","0","0","0","22","13,200","0","136","58","4,114,800"
"5","0438","财运旺好运旺","0","4","68","160,800","0","0","0","0","0","0","24","14,400","0","4","44","146,400"
"5","0439","巧克力","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0451","麻辣6","0","120","37","3,622,200","0","0","0","0","0","1","108","94,800","0","117","29","3,527,400"
"5","0453","旺旺","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0462","体彩顶呱刮十周年庆","0","155","42","4,675,200","0","0","0","0","0","0","19","11,400","0","155","23","4,663,800"
"5","0468","巅峰对决","0","196","160","5,928,000","0","0","0","0","0","1","42","42,600","0","195","118","5,885,400"
"面值合计","","","0","1,461","908","41,637,900","0","0","0","0","0","3","507","351,900","0","1,452","751","41,286,000"
"10","0055","绿翡翠9S","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"10","0056","三重钻石","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0091","红宝石8S","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"10","0104","NBA","0","0","17","10,200","0","0","0","0","0","0","0","0","0","0","17","10,200"
"10","0117","魅力海阳 喜迎亚沙会","0","1","96","87,600","0","0","0","0","0","0","0","0","0","1","96","87,600"
"10","0226","强力金球","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0232","热力500","0","215","18","6,460,800","0","0","0","0","0","0","0","0","0","215","18","6,460,800"
"10","0235","剪子包袱锤","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0246","NBA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0250","八方来财","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0252","11选5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0260","开门8件事","0","517","19","15,521,400","0","0","0","0","0","0","4","2,400","0","517","15","15,519,000"
"10","0268","通吃","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0272","喜结良缘","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0292","绿翡翠9","0","77","71","2,352,600","0","0","0","0","0","1","48","58,800","0","76","23","2,293,800"
"10","0293","狂热中","0","0","106","31,800","0","0","0","0","0","0","0","0","0","0","106","31,800"
"10","0296","吉星高照","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0301","中国红","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0304","大漠寻宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0308","福禄寿喜","0","149","93","4,525,800","0","0","0","0","0","0","5","3,000","0","149","88","4,522,800"
"10","0312","十倍幸运","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0313","财富之门","0","99","8","2,974,800","0","0","0","0","0","0","2","1,200","0","99","6","2,973,600"
"10","0317","红玫瑰","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0326","赤壁","0","15","36","471,600","0","0","0","0","0","1","1","30,600","0","14","35","441,000"
"10","0328","乐在7中","0","369","45","11,097,000","0","0","0","0","0","0","26","15,600","0","369","19","11,081,400"
"10","0331","甜蜜物语","0","202","90","6,087,000","0","0","0","0","0","0","3","900","0","202","87","6,086,100"
"10","0333","9","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"10","0335","滚雪球","0","0","2","1,200","0","0","0","0","0","0","0","0","0","0","2","1,200"
"10","0339","金猴献宝","0","368","7","11,044,200","0","0","0","0","0","0","2","1,200","0","368","5","11,043,000"
"10","0340","十二生肖","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0341","抢红包","0","162","55","4,893,000","0","0","0","0","0","0","8","4,800","0","162","47","4,888,200"
"10","0351","财运到","0","0","6","3,600","0","0","0","0","0","0","0","0","0","0","6","3,600"
"10","0353","神灯","0","39","24","1,184,400","0","0","0","0","0","0","5","3,000","0","39","19","1,181,400"
"10","0355","一路平安","0","919","92","18,398,400","0","0","0","0","0","0","10","2,000","0","919","82","18,396,400"
"10","0359","豪门盛宴","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0366","7乐无穷","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0369","加油中国","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0373","我爱中国","0","104","49","3,149,400","0","0","0","0","0","0","2","1,200","0","104","47","3,148,200"
"10","0375","黄金之城","0","121","143","3,715,800","0","0","0","0","0","0","5","3,000","0","121","138","3,712,800"
"10","0380","中国红","0","33","7","994,200","0","0","0","0","0","0","29","17,400","0","32","28","976,800"
"10","0386","卧虎藏龙","0","228","57","6,874,200","0","0","0","0","0","0","3","1,800","0","228","54","6,872,400"
"10","0389","长征","0","180","61","3,612,200","0","0","0","0","0","0","1","200","0","180","60","3,612,000"
"10","0401","芝麻开门","0","409","40","12,294,000","0","0","0","0","0","0","7","4,200","0","409","33","12,289,800"
"10","0403","10来运转","0","714","34","21,440,400","0","0","0","0","0","0","7","4,200","0","714","27","21,436,200"
"10","0404","有礼了","0","282","37","8,482,200","0","0","0","0","0","0","6","3,600","0","282","31","8,478,600"
"10","0406","金鸡纳福","0","272","23","8,173,800","0","0","0","0","0","0","9","5,400","0","272","14","8,168,400"
"10","0418","招财猫","0","1,052","143","31,645,800","0","0","0","0","0","9","4,355","2,883,000","0","958","38","28,762,800"
"10","0427","天作之合","0","208","18","6,250,800","0","0","0","0","0","0","2","1,200","0","208","16","6,249,600"
"10","0428","中奖达人","0","902","19","27,071,400","0","0","0","0","0","0","3","1,800","0","902","16","27,069,600"
"10","0432","强力5","0","573","37","17,212,200","0","0","0","0","0","1","5","33,000","0","572","32","17,179,200"
"10","0440","天作之合","0","192","54","5,792,400","0","0","0","0","0","0","5","3,000","0","192","49","5,789,400"
"10","0441","和气生财","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0442","天下名钻","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0443","挖金矿","0","191","12","5,737,200","0","0","0","0","0","0","4","2,400","0","191","8","5,734,800"
"10","0454","旺旺","0","66","46","2,007,600","0","0","0","0","0","0","14","8,400","0","66","32","1,999,200"
"10","0460","新时代 动起来","0","547","55","16,426,500","0","0","0","0","0","0","13","3,900","0","547","42","16,422,600"
"10","0463","体彩顶呱刮十周年庆","0","292","20","8,772,000","0","0","0","0","0","0","20","12,000","0","291","50","8,760,000"
"10","0465","十倍幸运","0","39","32","1,189,200","0","0","0","0","0","1","136","111,600","0","35","46","1,077,600"
"10","0471","全民健身日","0","152","95","4,588,500","0","0","0","0","0","0","403","120,900","0","148","92","4,467,600"
"10","0473","数字密码","0","474","24","14,234,400","0","0","0","0","0","2","80","108,000","0","470","44","14,126,400"
"面值合计","","","0","10,163","1,794","294,811,400","0","0","0","0","0","15","5,223","3,453,700","0","10,052","1,571","291,357,700"
"20","0101","金银生辉","0","0","2","1,200","0","0","0","0","0","0","0","0","0","0","2","1,200"
"20","0110","闪耀宝石9","0","0","8","4,800","0","0","0","0","0","0","0","0","0","0","8","4,800"
"20","0147","点石成金","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0215","黑旋风","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0237","大乐透","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0242","甜蜜蜜","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0247","NBA","0","558","42","16,765,200","0","0","0","0","0","0","8","4,800","0","558","34","16,760,400"
"20","0270","真金白银","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0283","欢乐扑克","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0288","四季来财","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0300","中国红","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0321","招财进宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0327","富贵8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0329","夺宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0343","大红包","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0348","皇家金典","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0363","富贵竹","0","130","61","3,936,600","0","0","0","0","0","0","26","15,600","0","130","35","3,921,000"
"20","0374","超值8","0","597","29","8,972,400","0","0","0","0","0","0","45","27,000","0","596","9","8,945,400"
"20","0387","卧虎藏龙","0","193","47","5,818,200","0","0","0","0","0","0","9","5,400","0","193","38","5,812,800"
"20","0407","发发发","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0408","7","0","137","36","4,131,600","0","0","0","0","0","0","97","58,200","0","135","39","4,073,400"
"20","0409","日进斗金","0","1,213","13","36,397,800","0","0","0","0","0","0","10","6,000","0","1,213","3","36,391,800"
"20","0416","点石成金","0","81","85","2,481,000","0","0","0","0","0","0","81","48,600","0","81","4","2,432,400"
"20","0426","花开富贵","0","1,238","12","37,147,200","0","0","0","0","0","0","19","11,400","0","1,237","43","37,135,800"
"20","0429","天时地利人和","0","1,684","51","50,550,600","0","0","0","0","0","16","5,446","3,747,600","0","1,560","5","46,803,000"
"20","0444","西游记","0","0","3","1,800","0","0","0","0","0","0","0","0","0","0","3","1,800"
"20","0445","20倍现金","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0464","体彩顶呱刮十周年庆","0","191","60","5,766,000","0","0","0","0","0","0","25","15,000","0","190","85","5,751,000"
"面值合计","","","0","6,022","449","171,974,400","0","0","0","0","0","16","5,766","3,939,600","0","5,893","308","168,034,800"
"30","0134","宝石之王","0","55","51","3,330,600","0","0","0","0","0","0","113","67,800","0","54","38","3,262,800"
"30","0175","好彩头","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0287","好彩头","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0319","黄金世界","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0338","至尊宝","0","0","3","1,800","0","0","0","0","0","0","0","0","0","0","3","1,800"
"30","0354","大吉大利","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0433","富贵有余","0","110","35","6,621,000","0","0","0","0","0","0","79","47,400","0","109","56","6,573,600"
"30","0446","天降财神","0","58","123","3,553,800","0","0","0","0","0","0","81","48,600","0","58","42","3,505,200"
"面值合计","","","0","223","212","13,507,200","0","0","0","0","0","0","273","163,800","0","221","139","13,343,400"
"总计","","","0","18,297","3,802","532,104,200","0","0","0","0","0","34","12,075","8,063,800","0","18,043","3,042","524,040,400"
